,SentID,Cause,Effect,Label,Sent
3644,3645,overpopulation,tension,1,"Overpopulation and poverty cause tension not only within communities and countries, but throughout the world."
3648,3649,screen,light,1,The only light in the house was radiating from the TV screen.
3651,3652,spill,catastrophe,1,"In economic terms, the ecological catastrophe caused by the Prestige oil spill is comparable with that caused by the Exxon Valdez."
3665,3666,computers,radiation,1,"Biomagnetic Research, in Arizona, makes a range of devices for neutralizing radiation from computers and other sources."
3666,3667,dogs,joy,1,The family members also get great joy from dogs doing tricks and great for family activities.
3677,3678,typhoon,damage,1,The US forces have withdrawn due to the damage caused by the eruption and the typhoon.
3678,3679,riot,deaths,1,"The riot resulted in the deaths of 196 people, and led to a major reform in the country's economic policy favouring the Malays."
3681,3682,flea,infestation,1,"Canine flea infestation is caused by fleas, which are small, wingless blood-sucking insects."
3688,3689,spilling,burn,1,Stella Liebeck is the woman who sued McDonalds after she suffered a serious burn after the spilling of a cup of coffee on her lap.
3689,3690,bending,fracture,1,"The bending caused a fracture on the tension side of the test specimen, but the UHMP fiber ribbon held the fractured parts together."
3690,3691,floods,harm,1,"Following a decision made by the Typhoon Committee in cooperation with United Nations agencies and the League of Red Crescent Societies, ESCAP compiles every year region-wide statistics and reports on the harm caused by tropical cyclones, floods, droughts and other severe weather events."
3701,3702,influx,drain,1,The influx caused a further drain on the country's already scanty resources.
3719,3720,sun,damage,1,This ingredient also repairs the damage that has been caused by the sun.
3731,3732,water,damage,1,"Apparently, beyond the damage caused by the smoke and the water, the structure of the store itself it was not overly damaged."
3733,3734,disorder,loss,1,"Individuals with this change, or with similar mutations in the USH2A gene, develop moderate to severe hearing loss and retinitis pigmentosa, a disorder that results in loss of vision."
3757,3758,destruction,migrations,1,The Germanic migrations of the fifth century were triggered by the destruction of the Gothic kingdoms by the Huns in 372-375.
3775,3776,photomultiplier,signal,1,The reference signal was generated from an auxiliary photomultiplier (RCA 1P28) with a quantum counter.
3781,3782,sun,radiation,1,The electromagnetic (EM) radiation from the sun arrives mostly in the form of visible and infrared wavelengths.
3790,3791,drainage,pseudolesion,1,The pseudolesion was caused by drainage of the paraumbilical vein.
3796,3797,bacteria,infection,1,"User-edited article about Salmonellosis, the infection caused by Salmonella bacteria, leading to diarrhea, fever, vomiting, and abdominal cramps."
3797,3798,eruption,damage,1,This paper presents the results of a survey of the building damage caused by the ash fall from the cataclysmic eruption of Mount Pinatubo.
3809,3810,earthquake,failures,1,"The earthquake caused the failures of the electric power system, the water supply system, the sewer system, the telephone and telegraph systems."
3810,3811,guy,fight,1,"The guy put up a fight, so the mugger takes out a gun and shoots him, point blank."
3820,3821,infections,boils,1,Boils or furuncles are caused by staphylococcal bacterial infections of the hair follicles.
3834,3835,infection,cancer,1,Cervical cancer is caused by infection with the human papillomavirus (HPV) and is one of the most common cancers in women in developing countries.
3839,3840,radiation exposures,cancers,1,"Notwithstanding problems associated with screening, many of those cancers were caused by radiation exposures shortly after the accident."
3844,3845,bacterium,infection,1,This year's Nobel Laureates in Physiology or Medicine made the remarkable and unexpected discovery that inflammation in the stomach (gastritis) as well as ulceration of the stomach or duodenum (peptic ulcer disease) is the result of an infection of the stomach caused by the bacterium Helicobacter pylori.
3850,3851,jaw problem,toothache,1,"A thorough oral examination, which includes dental X-rays, determines that the toothache is coming from a jaw problem."
3855,3856,circulation,convergence,1,"Also, we note the convergence over the lakes caused by the land breeze circulation."
3869,3870,crisis,recession,1,"The severe recession triggered by the global crisis has bottomed out, thanks in part to a rebound in exports, although production remains the same."
3878,3879,flight,crisis,1,"In the 1998 crisis, capital flight caused a crisis on the currency markets, as the removal of funds from Russia necessarily entailed the conversion of rubles to dollars."
3879,3880,infections,headaches,1,I used to get terrible headaches from sinus and infections that resulted in taking antibiotics a few times a year.
3890,3891,infertility,grief,1,The grief from infertility is at times so overwhelming that no one person can provide all the comfort and support that his or her partner needs.
3898,3899,candida,infections,1,"Monilia, candida or yeast infections are caused by various species of candida, especially Candida albicans, and are very common in babies and young children."
3900,3901,dehydration,dizziness,1,"The elderly found it hard to cope with the high heat-humidity, which often causes nausea and dizziness from exhaustion and dehydration."
3926,3927,earthquake,avalanche,1,The earthquake caused a massive avalanche on the northern slope of Mount Huascar.
3934,3935,malfunction,delays,1,The JFK baggage system malfunction caused delays for some flights and caused some passengers to simply travel without their things.
3937,3938,particles,scratches,1,"Small particles, grime and dirt cause friction and microscopic scratches that over time destroy the performance of equipment."
3940,3941,earthquake,tsunami,1,"When a tsunami is generated by a strong offshore earthquake, its first waves would reach the outer coast minutes after the ground stops shaking."
3946,3947,weathering,cementation,1,"A deposit ages, soil formation, weathering, diagenetic processes, and earthquake shaking lead to consolidation and cementation of the sediment."
3965,3966,victory,screaming,1,"The cheering and screaming after the victory had hardly died down when Marilyn Kelly proclaimed ""Party at my house!""."
3966,3967,fight,screaming,1,You counted almost thirty-three honorable punches and kicks thrown in this clip of little kid screaming after the terrible fight.
3980,3981,lesions,leg weakness,1,Lesions restricted to the rear portion of the medial part of the precentral gyrus caused a contralateral predominantly distal leg weakness.
3982,3983,operation,arrest,1,One of the largest Internet piracy rings in the world has been shut down in a police operation that resulted in the arrest of 181 people.
3996,3997,incidents,distress,1,DOD/USAF/AFRCC initiated Federal SAR response activities for incidents that result in aeronautical distress.
3998,3999,presence,release,1,"Pavlov-like, looking at the picture aids ""let-down,"" the release of milk normally triggered by the presence of the baby, its touch, its cry."
4006,4007,event,inspiration,1,The inspiration for the multi-touch technology came from a decidedly non-digital event.
4029,4030,reading,rage,1,Raj driven to rage after reading about yet another weirdly spelled Web 2.0 company is struggling on TechCrunch.
4036,4037,rainfall,flooding,1,The team prepared GIS precipitation and contour maps of the area (approximately 777 square miles) depicting the landforms and identifying the flooding and landslides caused by the rainfall.
4037,4038,rupture,earthquake,1,"The 1906 San Francisco earthquake was caused by a rupture on the San Andreas Fault, a continental transform fault that forms part of the boundary between the Pacific Plate and the North American Plate."
4045,4046,death,grief,1,"The grief from sudden death is completely different from expected death, when families have time to prepare and say goodbye."
4051,4052,thorns,wounds,1,The wounds caused by the scourging and the thorns are almost invisible.
4056,4057,desires,war,1,"The war was caused by the expansionist desires of Hitler, Mussolini and the Japanese imperialists."
4061,4062,decrease,osteoporosis,1,Osteoporosis is caused by a sharp decrease in estrogen levels that leads to an increased rate of bone remodeling.
4069,4070,consumers,collapse,1,The economic collapse was caused by consumers buying mortgages they couldn't afford and the housing collapse.
4071,4072,vaccine,fever,1,"Convulsions that occur after DTaP are usually not caused directly by the vaccine, but by a fever, which in turn was triggered by the vaccine."
4079,4080,sounds,manakin,1,"To determine, once and for all, how the manakin was making its bizarre sounds, Bostwick and colleagues decided to take feather samples."
4123,4124,selling,revenues,1,Licenses and Permits are revenues from the selling of vendor and dog licenses and other items.
4164,4165,pollutant,rain,1,"More than 4500 tons of nitrogen oxides annually -- a pollutant that causes smog, acid rain, and contributes to asthma attacks and other breathing problems."
4166,4167,addiction,neglect,1,Addiction and poverty lead to neglect and abuse.
4176,4177,smoking,swelling,1,The swelling of the vocal fold mucosa is caused by smoking.
4177,4178,incubation,reduction,1,"In conclusion, incubation of the aorta produces a specific reduction in agonist-evoked contraction."
4194,4195,rainfall,high humidity,1,"The high humidity caused by the rainfall damaged the seed of PU already mature while the good soil moisture allowed the seed of SO, TO and OO to fill better."
4205,4206,virus,disease,1,"First, the H5N1 virus has caused by far the greatest number of human cases of very severe disease and the greatest number of deaths."
4211,4212,chemical changes,symptoms,1,"Many symptoms of fight or flight are caused by chemical changes in the body, but these two symptoms of are caused by chronic, rapid, shallow breathing."
4232,4233,assassination,arrests,1,"The assassination resulted in extensive arrests of governmental, security, and criminal figures."
4238,4239,storm,damage,1,The storm resulted in 31 deaths and 2.5 million dollars damage.
4247,4248,policies,disaster,1,Obama's economic policies are turning into a global disaster.
4270,4271,murders,execution,1,"Thus, evaluating capital punishment as a form of retribution is reduced by Sellin to merely estimating the proportion of capital murders that result in execution."
4274,4275,injury,dizziness,1,Dizziness was caused by whiplash and head injury.
4277,4278,hull,scratch,1,The hull caused a scratch on the eye and that is why it's not healing all the way.
4279,4280,massacre,onslaught,1,The massacre resulted in a local and international onslaught.
4286,4287,colds,inflammation,1,"Both colds and flu cause inflammation of the mucous membranes (found in the nose, throat and mouth)."
4292,4293,constipation,abdominal pain,1,Constipation is the most common cause of abdominal pain in the pediatric population.
4295,4296,administration,poverty,1,Our country is resolving the war and poverty caused by the previous administration.
4312,4313,contraction,pain,1,The pain was radiating from the contraction out to my hips and back and then down both my legs all the way to my toes.
4319,4320,speech,anger,1,"The fresh Muslim anger has been caused by the opening speech delivered by Pope Benedict XVI on September 12, 2006."
4321,4322,virus,cold sores,1,Cold sores or fever blisters are caused by the herpes simplex virus and are usually relatively easy to identify.
4354,4355,money,quarrel,1,The quarrel during the night of the crime was caused by money.
4359,4360,infection,sinusitis,1,Sinusitis is the inflammation of the sinuses caused by a bacterial infection.
4369,4370,aftershock,fire,1,During the great fire of the aftershock in Tokyo in 1923 many Ginkgo trees survived while other trees died.
4374,4375,attack,product,1,The major product arose from an attack of aromatic compound.
4380,4381,interpolation,distortion,1,Interpolation of the missing samples repairs the waveform with a minimum of distortion.
4394,4395,education,devastation,1,The worst devastation around us has been caused by the abject failure of religious education.
4427,4428,depression,suicide,1,"But among the heroin addicts especially, there is frequently a very severe depression, and depression is one of the main causes of suicide."
4456,4457,flows,erosion,1,"We minimized excessive flows that cause flooding, bank erosion, and habitat loss."
4466,4467,measles,rashes,1,"For example, measles and chickenpox cause rashes along with other symptoms."
4468,4469,proposal,opposition,1,"However, the planning proposal has generated opposition from locals who have voiced fears over health issues."
4471,4472,joy,laughter,1,"Allaah decreed joy and sadness, because joy results in laughter and sadness leads to crying."
4479,4480,parasite,malaria,1,Malaria is caused by infection with a parasite called Plasmodium that is transmitted by mosquitos.
4513,4514,fireplace,warmth,1,The warmth was radiating from the fireplace to all corners of the room.
4515,4516,quake,loss,1,The reports regarding the casualties has been announced and the loss that has been caused by the quake is being estimated.
4518,4519,plants,pollution,1,Air pollution from coal-fired power plants is large and varied and contributes to a significant number of negative environmental and health problems.
4519,4520,recession,slowdown,1,"Former Safety-Service Director Rex Katterheinrich estimated the city collecting $2.16 million in 2009, who took into account for the economic slowdown caused by the national recession."
4526,4527,germ,ulcer,1,"Dr. Marshall is the discoverer of Helicobacter (H. pylori), the germ that causes peptic ulcer."
4535,4536,divorce,sadness,1,"The sadness from divorce meant more if you were aware she was married very briefly to choreographer/director Michael Bennett, who shaped her career, then created the ""Chorus Line"" character around her in 1975."
4537,4538,pathogens,infection,1,NGU (NonGonococcal Urethritis) is an infection of the urethra caused by pathogens ( germs ) other than gonorrhea.
4556,4557,crash,gash,1,The crash caused a gash on the west side of the Pentagon measuring 30 yards wide and 10 yards deep.
4568,4569,nicotine,increase,1,"A stimulant, nicotine causes a temporary increase in alertness and a calm feeling."
4570,4571,shingles,pain,1,He treated the pain from shingles as it persisted for long periods of time.
4584,4585,tension,headaches,1,"There are many types and causes of headaches, from tension headaches due to stress to migraines triggered by certain foods."
4589,4590,disease,pain,1,Patients with adenomyosis experience pain from this disease in the early 30's.
4610,4611,tests,information,1,These tests establish baseline information on employees and help insure that they are appropriately matched to the physical demands of their jobs.
4612,4613,enzymes,disorders,1,"Because the disorders are caused by defective lysosomal enzymes, with the result being lysosomal accumulation of pathway intermediates, these are often referred to as lysosomal storage diseases."
4629,4630,housing bubble,crisis,1,"The current crisis was caused by the housing bubble, and the primary cause of the housing bubble was the Federal Reserve keeping interest rates at 1 percent."
4646,4647,pills,headaches,1,Both over-the-counter pain pills and prescription drugs cause medication-overuse headaches.
4654,4655,poisoning,deaths,1,Most deaths from the accident were caused by radiation poisoning.
4657,4658,performance,loss,1,Bankers were assessing the loss caused by the poor performance of Gartmore's 340m pounds IPO this week after it needed to be scaled down and its price slashed.
4698,4699,earthquakes,cracks,1,GIS revealed a relationship between cracks caused by earthquakes and paddy fields.
4707,4708,bacteria,mortality,1,Both bacteria cause mortality in target species via a lethal septicaemia as a result of spore germination.
4712,4713,malfunction,inflammation,1,Pancreatitis is an inflammation of the pancreas caused by a malfunction involving the digestive enzymes that the pancreas makes.
4714,4715,earthquake,catastrophe,1,"The direct catastrophe caused by the earthquake was estimated at 10.2 billion euro, clearly justifying European intervention."
4717,4718,fires,damages,1,"The damages caused by the fires that immediately broke out and raged for three days, were by far worse than those caused by the earthquake itself."
4735,4736,wound,death,1,He testified that cause of death was massive bleeding into the blood sac of the heart caused by a stab wound on the left chest.
4737,4738,earthquake,slides,1,"The scale of such landslides on natural slopes can be large enough to devastate entire villages or towns, such as the Huascaran Avalanche triggered by the Peru earthquake (1970, Mw = 7.8), or the complex slides caused by the Alaska earthquake in 1964 (Ms = 8.4)."
4750,4751,tension,headaches,1,Chronic daily headaches are tension headaches or headaches which are caused by taking too many pain killers.
4761,4762,rising unemployment rate,trend,1,"A trend has been caused by the growing absolute numbers of young people on the planet, and by the rising unemployment rate."
4764,4765,drugs,birth defects,1,Birth defects are caused by drugs that the persons have been exposed to before birth.
4772,4773,constipation,fever,1,"In these cases of fever from constipation there are no local signs except, perhaps, a varying amount of tenderness over the sigmoid flexure of the colon, but only appreciable where the distension of gut is extreme."
4789,4790,parasite,toxoplasmosis,1,"Toxoplasmosis is caused by infection with Toxoplasma gondii, an obligate intracellular parasite."
4793,4794,attack,shock,1,"Most importantly, the shock and anger caused by the surprise attack on Pearl Harbor united a divided nation and was translated into a wholehearted commitment to victory in World War II."
4796,4797,neuroma,pain,1,Morton's neuroma is the most common cause of localized pain in the third interspace and these diagnostic tests produce good indications of the condition.
4804,4805,ionization,avalanche,1,"Furthermore, the substrate doping density at which impact ionization causes avalanche breakdown at the trench capacitor junction has been estimated."
4809,4810,climate change,cyclone,1,"Major disasters like cyclone, floods and the storm surges, drought are caused by climate change."
4817,4818,running,injuries,1,Knee injuries from running are treated and prevented by following tips and performing stretches from Runner's World.com.
4822,4823,virus,craziness,1,Ita s hard for me to fathom the craziness that has been caused by the H1N1 virus.
4826,4827,atmospheric pressure,displacement,1,The displacement comes from low atmospheric pressure within the centre of the depression.
4845,4846,infection,dacryoadenitis,1,Dacryoadenitis is caused by local infection of the lacrimal gland by bacteria or viruses.
4848,4849,malfunction,launch,1,"Shortly after takeoff, an apparent systems malfunction has caused the inadvertent launch of an AIM-9 Sidewinder missile."
4849,4850,eruption,evacuation,1,"After the war, as the Midway was preparing for retirement, she was called upon one last time to the Philippines to help with an evacuation after the eruption of Mt. Pinatubo."
4851,4852,vibrations,motion,1,The vibrations caused a violent twisting motion on the bridge.
4857,4858,medication overuse,headaches,1,To help doctors to know and cure headaches from medication overuse a revised criteria was published by the International Headache Society.
4872,4873,injuries,unconsciousness,1,Head injuries are a common cause of unconsciousness and they occur in many sports like rugby and boxing.
4877,4878,dye,colouration,1,The colouration has been caused by a blue dye.
4889,4890,conflict,anxiety,1,"Occasionally, a dream proffers no solution but portrays only the anxiety which is generated by the conflict."
4911,4912,germs,sore throat,1,"Using the product around the house killed germs that were causing flu, colds or sore throat."
4943,4944,death,grief,1,This consensus paper describes the essential skills that clinicians need to help persons who are experiencing grief after the death of a loved one.
4949,4950,rendition,impression,1,"After making an impression the crowd with an a capella rendition of their national anthem, the South African were immediately under pressure."
4973,4974,marketing spending,revenue,1,"Recently, marketing spending translated into revenue."
4977,4978,ash,drama,1,"In reality, however, the drama has been caused by the erupting ash and smoke colliding with a lightning storm."
4979,4980,developer,adventure,1,"Yet on the whole, given the constraints of sticking so closely to the original book, the developer has crafted a thoroughly pleasing puzzle adventure."
5013,5014,corruption,crisis,1,Corruption is one of the main causes of a global crisis that deprives more than a billion people of access to safe drinking water and more than 2.6 billion of access to sanitation systems.
5018,5019,colorants,rashes,1,"Many commercial soap, shower gel or cleanser products contain preservatives, colorants and chemicals that cause dryness, rashes, itchiness and roughness on the skin."
5030,5031,recession,pain,1,"For all the pain caused by the great recession, the job market still was not in as bad shape as it had been during the depths of the early 1980s recession, until now."
5032,5033,hurricanes,destruction,1,Landrieu where he saw firsthand the destruction caused by the hurricanes and the failure of the storm protection system.
5033,5034,air,breezes,1,Sea breezes are caused by cool and more dense air moving inland off the water.
5041,5042,germs,diarrhea,1,"These germs cause several kinds of illnesses, such as diarrhea, meningitis or a cold."
5070,5071,drought,brown areas,1,"The brown areas are caused by drought, brown patch, take-all-patch, chinch bugs or grubs."
5079,5080,acne breakouts,scars,1,Many adults retain scars from acne breakouts during their teen years and feel marked for life.
5085,5086,suffocation,shock,1,"The slow suffocation of the cells swiftly cause unconsciousness and shock, soon followed by death."
5100,5101,purchase,disappointment,1,"In these cases, the disappointment from the purchase is not forgotten over time, but rather accumulates."
5112,5113,debt,stress,1,"Unemployment, debt and poverty cause enormous stress."
5114,5115,plate,earthquake,1,The earthquake was caused by the Anatolian plate and the Eurasian plate moving past each other.
5121,5122,tsunami,havoc,1,"While it took only minutes for the Pacific tsunami and earthquake to cause havoc to the south coast of Samoa, the rebuilding and reconstruction efforts will take years."
5123,5124,epidemic,devastation,1,Many more resources are required in order to stem the devastation that has been caused by the epidemic throughout sub-Saharan Africa.
5131,5132,waterjet,gouge,1,"In one case, the waterjet caused a large gouge on the bottom side of a a copper/ wood/copper piece."
5132,5133,threats,stress,1,"Frustrations, threats, and conflicts cause stress."
5145,5146,tremors,damages,1,"The damages caused by mudslides, tremors, subsidence, superficial or underground water were verified, as well as swelling clay soils."
5155,5156,machine,sounds,1,The sound machine contained 10 sounds that his dog loved.
5175,5176,steam,backpressure,1,"The steam caused a backpressure on the VTD, resulting in the rupture disc opening."
5184,5185,death,abandonment,1,His death during one of the Portuguese raids caused the abandonment of the settlement.
5208,5209,exposure,watering,1,Exposure to vapor causes intense watering and irritation to eyes.
5229,5230,celebs,scandals,1,The scandals are caused by the young female celebs who 'inadvertently' reveal glimpses of their naked faces as they get out of limousines.
5231,5232,chopsticks,infection,1,The infection was caused by the contaminated chopsticks used by the parent to feed her child.
5265,5266,unemployment,fallout,1,"A University of Michigan study of 756 recently unemployed job seekers has found that medical and emotional fallout, including depression, from unemployment continued even after two years, when 71 percent were re-employed."
5267,5268,discussion,accolade,1,The accolade was decided upon after an intense discussion between about 200 members.
5270,5271,poisoning,abdominal pain,1,"Food poisoning is perhaps the commonest cause of abdominal pain, especially in the young dog or the scavenger type."
5291,5292,success,celebration,1,"Instead, the success of the revolution is the reason for the celebration."
5292,5293,exhaustion,fever,1,I got a fever from exhaustion and it seems like I'm better but basically my body is suffering from major exhaustion so I'm always tired.
5298,5299,hinge,crack,1,"The hinge caused a crack on the left side of my kindle, and Amazon has been horrible about helping with this issue."
5299,5300,radiation,injury,1,Injury of patients of the Bikini accident has been caused by the radiation of the fallout in contrast to the atomic bomb injury at Hiroshima and Nagasaki.
5300,5301,worms,distention,1,The abdominal distention caused by the worms was slightly asymmetrical when compared with the normal fright-induced swelling.
5302,5303,rains,disaster,1,"More than thirty people lost their lives in June, in the disaster caused by torrential rains in Hiroshima Prefecture, and in September more than thirty people lost their lives in the damage caused by the typhoon that swept through various regions, centering on Kumamoto Prefecture."
5321,5322,addiction,damage,1,Learning about the dynamics of addiction starts from repairing the damage that has been caused by the addiction.
5331,5332,fever,convulsion,1,A febrile seizure is a convulsion in a child triggered by a fever.
5349,5350,community,movement,1,"Recently, there is a movement afoot, instigated by the heterodox section of the community, as well as by the followers of the Gatha Alone Cultists to proselytise others to become ""Zarthushtis""."
5356,5357,divorce,sadness,1,"Regardless I got my life back, sadness from divorce is GONE I am thrilled I am not bleeding, dont need red shorts to walk my daughter to the park."
5359,5360,fight,carnage,1,He is personally responsible for the carnage that has been caused by the fight.
5368,5369,accident,pain,1,Peters's pain and symptoms were caused by the automobile accident.
5392,5393,fleas,rashes,1,Sensitive pets experience rashes and discomfort from ticks and fleas.
5393,5394,pregnancy,nausea,1,"""Morning Sickness"" is a bit of a misnomer, as nausea from pregnancy; it can happen at any time of the day."
5396,5397,vaccine,increase,1,Some people took this as an indication that the increase was caused by the MMR vaccine.
5407,5408,wind,corkscrew,1,"The wind caused a neat effect on the smoke clouds though, causing a corkscrew in the otherwise straight line."
5410,5411,cockroaches,fear,1,"A women fear from darkness, insects, cockroaches, mice, lizards, spiders and more and more."
5422,5423,debris,pustules,1,Bacteria and comedonal debris cause acne pimples or pustules (inflammatory lesions).
5439,5440,collision,spill,1,An oil spill caused by a collision between a ship and a barge closed the ship channel servicing the nation's second largest port.
5441,5442,fear,heart attack,1,"Excessive anxiety, worry or fear are among the causes of heart attack."
5451,5452,bills,bankruptcies,1,Medical bills make up half of bankruptcies.
5455,5456,bacteria,acne,1,"In reality, acne is caused by bacteria and oil on the skin."
5465,5466,exhaustion,suffering,1,The 77-year-old is suffering from exhaustion and he will undergo medical tests.
5489,5490,construction,damage,1,We began to reverse the damage to one of the greatest rivers in the state caused by the construction of a dam nearly 70 years ago.
5495,5496,loop,light,1,A loop emiting short flashes of light is projected onto volunteer members of the audience.
5497,5498,movement,earthquakes,1,Earthquakes are caused by movement of the earth's crust along this fault.
5513,5514,earthquake,landslide,1,"The tsunami was generated by an undersea landslide, which was triggered by the earthquake."
5529,5530,duo,stir,1,The dancing duo caused a stir on the 2008 series of the show with their infusion of classic Michael Jackson songs and dance moves mixed with bangra.
5549,5550,heat,currents,1,The deeper currents are caused by heat from the sun.
5565,5566,injury,discomfort,1,An alert victim with a broken neck or severely torn ligament has enough discomfort from the injury and muscle spasm to force him to hold his neck still.
5569,5570,selling,commission,1,The Affiliate Classroom promotes the direct sales and gets commission from the selling of products.
5570,5571,thought,anxiety,1,The act of repeated hand washing is the compulsive behavior performed in an attempt to remove the anxiety caused by the obsessive thought.
5586,5587,rains,catastrophe,1,In relation to the catastrophe caused by the rains of recent days in the Sierra and Coastal zones of Chiapas.
5611,5612,development,clearance,1,The development of oil palm plantations is one of the biggest causes of rainforest clearance.
5616,5617,asthma,swelling,1,Asthma causes swelling and narrowing of the airways.
5624,5625,snowstorm,delays,1,"The weekend snowstorm caused delays that had some passengers still stuck in Washington, DC on Monday night."
5631,5632,cars,pollution,1,"Global warming pollution from cars, light trucks and SUV's is the single largest source of global warming pollution generated in Maine."
5638,5639,poor sleeping,tension,1,"Cervical strain results from the physical stresses of everyday life, including poor posture, muscle tension from psychologic stress or poor sleeping."
5639,5640,source,signal,1,The reference clock signal originates from an internal clock source.
5657,5658,reaction,affect,1,The chemical reaction in the water caused a bubbling affect on the surface.
5666,5667,refusal,conflict,1,The conflict is rooted in an ongoing refusal by the Palestinians and the Arab world to recognize the right of the Jewish people.
5671,5672,embers,fire,1,A spot fire is caused by burning embers being blown away by high winds that occur during bushfires.
5675,5676,rock,accident,1,A rock in the road caused an accident by breaking the rear wheel on the wagon.
5678,5679,man,kidnapping,1,Ditto for his funny turn as a man who instigates the kidnapping of his own wife in E Niwas's Love Ke Liye Kuch Bhi Karega.
5682,5683,explosion,gas leak,1,"The explosion caused a gas leak on the pipeline near the village of Pouce Coupe, south of Dawson Creek."
5689,5690,pie,poisoning,1,A spaghetti pie served at a church dinner had caused the poisoning of one hundred people.
5695,5696,allergies,fever,1,My dog has a fever from allergies he was given clavamox and a shot.
5704,5705,argument,shooting,1,"The shooting stemmed from an argument the two students had ""in the community"" over the weekend."
5720,5721,law,problem,1,Part of the problem is rooted in an ill-conceived state law.
5722,5723,war,insecurity,1,An important challenge for the new administration was to address the insecurity and poverty caused by civil war.
5727,5728,masts,nausea,1,Phone masts for the high-tech third generation mobile phones cause headaches and nausea.
5765,5766,disturbances,acne,1,"Various hormonal, bacterial and inflammatory disturbances cause acne."
5773,5774,imbalances,paralysis,1,Paralysis or convulsions are caused by hormone deficiencies and imbalances.
5791,5792,conflict,collapse,1,Conflict had caused the collapse of the Somali Republic.
5820,5821,mistake,quarrel,1,The fatal mistake caused a quarrel between different companies.
5822,5823,disorders,vomiting,1,Many disorders of the stomach and intestines cause nausea and vomiting.
5824,5825,toxin,paralysis,1,These are all symptoms of the muscle paralysis caused by the bacterial toxin.
5843,5844,destruction,collapse,1,It was the destruction of the gold standard by the government that caused the unprecedented collapse in the world economy.
5844,5845,asthma,coughing,1,"Coughing from asthma is worse at night or early in the morning, making it hard to sleep."
5852,5853,antibiotics,growth,1,The Obama administration supports ending the use of antibiotics for growth and feed efficiency in food animals.
5860,5861,gun,beam,1,"The primary electron beam was generated by an electrostatically focused electron gun, with a rhenium strip cathode."
5866,5867,cocaine,mortality,1,"Higher doses of cocaine cause convulsions, severe maternal weight loss and increased maternal mortality."
5869,5870,dog,crash,1,A dog loose on the carriageway caused a five-vehicle crash on the M25 on Wednesday morning.
5880,5881,fuels,pollution,1,"In economic terms, pollution from fossil fuels is regarded as a negative externality and should be taxed."
5881,5882,fuels,pollution,1,"Third, air and water pollution from fossil fuels are a huge problem in China."
5888,5889,typhoon,destruction,1,"In 1880, there was a strong typhoon and an earthquake that lead to the destruction of the instrument."
5901,5902,speeding,accidents,1,Speeding is one of the more obvious causes of pedestrian accidents.
5915,5916,high temperature,decomposition reaction,1,"The high temperature caused a decomposition reaction, increased the inner pressure of the reactor, and resulted in a rupture."
5926,5927,recession,deterioration,1,The deterioration has been caused by an apparently endless recession.
5938,5939,tendinitis,elbow pain,1,"The scientific, yet understandable reasons of why the L*Bo Aid is so effective in eliminating and preventing elbow pain due to epicondylitis commonly referred to as ""Tennis Elbow"" and tendinitis."
5942,5943,inspiration,process,1,The process departs from an inspiration and idea generation phase based on challenges the company faces in the coming years.
5944,5945,immigration,decline,1,The decline has been caused by the immigration of lower ability immigrants.
5951,5952,range,criminal law,1,"Instead, criminal law is set out in a diverse range of statutes and court decisions."
5953,5954,conjunctivitis,pinkeye,1,Infectious conjunctivitis is the most common cause of pinkeye around the world.
5955,5956,figure,singing,1,The singing comes from the substantial figure of Mole - Paul Smith in the normal world - who crams into his days a full-time job.
5968,5969,earthquake,damage,1,"The damage in Washington was so much less than the damage caused by the 1994 Northridge earthquake, despite that their magnitudes were so similar-- 6.8 vs. 6.7."
5981,5982,activity,earthquake,1,"In early 2007 renewed a coal mining activity in the region triggered the earthquake, although earthquake activity has been present in the area at least since white settlement first occurred."
5987,5988,bacteria,diarrhea,1,"This bacteria causes skin infections, colds, or diarrhea."
5992,5993,dust,coughing,1,"Brushing the air with both hands and coughing from the dust, it settled on both vehicles."
5996,5997,anger,aggressions,1,Anger leads to aggressions towards colleagues.
5998,5999,excitation,emission,1,The former emission arose from the primary collisional excitation.
6008,6009,attack,sorrow,1,This sweet satisfaction was only troubled by the sorrow caused by the horrible attack on the person of a representative of the nation.
6017,6018,depression,insomnia,1,Many depression sufferers and their physicians revealed that insomnia was caused by depression.
6029,6030,spending,strain,1,The increased spending caused a strain on the state treasury as the Sultan was spending increasing amounts of time in the harem rather than leading the people.
6031,6032,internship,interest,1,My earliest research interest stemmed from an internship at Tall Timbers.
6032,6033,running,loss,1,Here are some ways to avoid mindless eating and boost your weight loss from running.
6037,6038,sun,tides,1,The tides caused by the sun follow the exact same methods as those by the moon.
6048,6049,steam,alarm,1,I forgot to shut the bathroom door before showering and the steam set off the smoke alarm on the wall between the bathroom and my bedroom.
6052,6053,beam,spark,1,Characteristics of a vacuum spark triggered by the transient hollowcathode discharge electron beam.
6076,6077,breathing,suffocation,1,"Each year, many infants and toddlers die due to suffocation from breathing small objects into their breathing passages and lungs."
6081,6082,destruction,suffering,1,"Aware of the suffering caused by the destruction of life, I am committed to cultivating compassion and learning ways to protect the lives of people, animals, plants, and minerals."
6084,6085,earthquake,fire,1,"Even way back in the San Francisco earthquake, most of the damage was caused by fire after the earthquake."
6107,6108,virus,cancer,1,"Liver cancer caused by HBV virus is among the first three causes of death from cancer in men, and a major cause of cancer in women."
