,sentence,all_sents,extractions,augmented_exts,ctime,etime
55,सिफियस चतुर्थ की श्रेणी के तारों को सिफीड कहते हैं .,['सिफियस चतुर्थ की श्रेणी के तारों को सिफीड कहते हैं .'],"[[['तारों को', 'कहते हैं', 'श्रेणी के'], ['श्रेणी के', 'property', 'सिफियस चतुर्थ की']]]",[[]],[0.068],[0.0]
56,यह ' प्राथमिक विधि अध्यारोप ' के नाम से प्रसिद्ध है .,"[""यह ' प्राथमिक विधि अध्यारोप ' के नाम से प्रसिद्ध है .""]","[[['यह', 'प्रसिद्ध है', 'नाम से'], ['नाम से', 'property', ""' प्राथमिक विधि अध्यारोप ' के""]]]",[[]],[0.07],[0.0]
57,चीन तथा जापान से इस देश का अधिक संपर्क रहा है .,['चीन तथा जापान से इस देश का अधिक संपर्क रहा है .'],"[[['अधिक संपर्क', 'रहा है', 'चीन'], ['अधिक संपर्क', 'रहा है', 'जापान से'], ['अधिक संपर्क', 'property', 'इस देश का']]]","[[['चीन', 'अधिक संपर्क रहा है', 'जापान से']]]",[0.066],[0.0]
58,कश्यप ने तत्काल ज्योतिष गणना करके पता लगाया कि राजा की आयु में कुछ घड़ी शेष हैं .,['कश्यप ने तत्काल ज्योतिष गणना करके पता लगाया कि राजा की आयु में कुछ घड़ी शेष हैं .'],"[[['कश्यप ने', 'पता लगाया', 'शेष'], ['कुछ घड़ी', 'शेष हैं', 'आयु में']]]",[[]],[0.066],[0.0]
59,अभ्रक आदि की खानों में मोमबत्तियाँ भी प्रयुक्त होती है .,['अभ्रक आदि की खानों में मोमबत्तियाँ भी प्रयुक्त होती है .'],"[[['मोमबत्तियाँ भी', 'प्रयुक्त होती है', 'खानों में'], ['खानों में', 'property', 'अभ्रक आदि की']]]",[[]],[0.067],[0.0]
60,इस शैली में उन्होंने कहानियाँ और उपन्यास लिखे हैं .,['इस शैली में उन्होंने कहानियाँ और उपन्यास लिखे हैं .'],"[[['उन्होंने', 'लिखे हैं', 'कहानियाँ'], ['इस शैली में', 'लिखे हैं', 'उन्होंने'], ['उन्होंने', 'लिखे हैं', 'उपन्यास']]]","[[['कहानियाँ', 'उन्होंने लिखे हैं', 'इस शैली में'], ['कहानियाँ', 'उन्होंने लिखे हैं', 'उपन्यास'], ['इस शैली में', 'लिखे हैं उन्होंने', 'उपन्यास']]]",[0.065],[0.0]
61,वो पहले दलित और पहले मलयाली मुख्य न्यायाधीश हैं .,['वो पहले दलित और पहले मलयाली मुख्य न्यायाधीश हैं .'],"[[['वो', 'मुख्य न्यायाधीश हैं', 'पहले दलित']]]",[[]],[0.069],[0.0]
62,6 जुलाई 2009 को उन्होंने सरकार का वार्षिक बजट पेश किया .,['6 जुलाई 2009 को उन्होंने सरकार का वार्षिक बजट पेश किया .'],"[[['उन्होंने', 'पेश किया', 'वार्षिक बजट'], ['6 जुलाई 2009 को', 'पेश किया', 'उन्होंने'], ['वार्षिक बजट', 'property', 'सरकार का']]]","[[['वार्षिक बजट', 'उन्होंने पेश किया', '6 जुलाई 2009 को']]]",[0.079],[0.0]
63,स्थानीय आबादी लगभग पूरी तरह से चाय के व्यापार पर निर्भर रहती है .,['स्थानीय आबादी लगभग पूरी तरह से चाय के व्यापार पर निर्भर रहती है .'],"[[['स्थानीय आबादी', 'निर्भर रहती है', 'लगभग पूरी तरह से'], ['व्यापार पर', 'निर्भर रहती है', 'चाय के']]]",[[]],[0.071],[0.0]
64,इसे साथ ही आधारभूत प्रोफ़ाइल में भी लागू किया जाता है .,['इसे साथ ही आधारभूत प्रोफ़ाइल में भी लागू किया जाता है .'],"[[['इसे साथ ही', 'लागू किया जाता है', 'आधारभूत प्रोफ़ाइल में भी']]]",[[]],[0.069],[0.0]
65,उन्हें उत्कल मणि के नाम से जाना जाता है .,['उन्हें उत्कल मणि के नाम से जाना जाता है .'],"[[['उन्हें', 'जाना जाता है', 'नाम से'], ['नाम से', 'property', 'उत्कल मणि के']]]",[[]],[0.076],[0.0]
66,"अधिक जानकारी के लिए , कृपया फ्रेंच फ्लेमिश को देखें .","['अधिक जानकारी के लिए , कृपया फ्रेंच फ्लेमिश को देखें .']","[[['कृपया', 'देखें', 'फ्रेंच फ्लेमिश को']]]",[[]],[0.07],[0.0]
67,इस नदी का ज्यादातर अंश पाकिस्तान में प्रवाहित होता है .,['इस नदी का ज्यादातर अंश पाकिस्तान में प्रवाहित होता है .'],"[[['ज्यादातर अंश', 'प्रवाहित होता है', 'पाकिस्तान में'], ['ज्यादातर अंश', 'property', 'इस नदी का']]]",[[]],[0.075],[0.0]
68,"मत्रूह मुहाफ़ज़ाह का अंदरूनी भाग लीबियाई रेगिस्तान का हिस्सा है , जिसमें सीवा नख़लिस्तान ( ओएसिस ) भी स्थित है .","['मत्रूह मुहाफ़ज़ाह का अंदरूनी भाग लीबियाई रेगिस्तान का हिस्सा है , जिसमें सीवा नख़लिस्तान ( ओएसिस ) भी स्थित है .']","[[['अंदरूनी भाग', 'हिस्सा है ,', 'लीबियाई रेगिस्तान का'], ['अंदरूनी भाग', 'property', 'मत्रूह मुहाफ़ज़ाह का'], ['सीवा नख़लिस्तान', 'स्थित है', 'जिसमें'], ['सीवा नख़लिस्तान', 'property', '( ओएसिस )']]]",[[]],[0.075],[0.0]
69,"राज्य की राजधानी बंगलुरु शहर है , जो भारत में हो रही त्वरित आर्थिक एवं प्रौद्योगिकी का अग्रणी योगदानकर्त्ता है .","['राज्य की राजधानी बंगलुरु शहर है , जो भारत में हो रही त्वरित आर्थिक एवं प्रौद्योगिकी का अग्रणी योगदानकर्त्ता है .']","[[['राजधानी', 'बंगलुरु शहर है ,', 'जो अग्रणी योगदानकर्त्ता'], ['त्वरित आर्थिक', 'हो रही', 'भारत में']]]",[[]],[0.081],[0.001]
70,ये अपनी रहस्यमयी और भयावह कहानियों के लिए प्रसिद्ध हैं .,['ये अपनी रहस्यमयी और भयावह कहानियों के लिए प्रसिद्ध हैं .'],"[[['ये', 'प्रसिद्ध हैं', 'कहानियों के लिए']]]",[[]],[0.081],[0.0]
71,उनका एक कहानी संग्रह और दो निबंध संग्रह प्रकाशित हुए हैं .,['उनका एक कहानी संग्रह और दो निबंध संग्रह प्रकाशित हुए हैं .'],"[[['एक कहानी संग्रह', 'प्रकाशित हुए हैं', 'उनका'], ['दो निबंध संग्रह', 'प्रकाशित हुए हैं', 'उनका']]]","[[['एक कहानी संग्रह', 'प्रकाशित हुए हैं उनका', 'दो निबंध संग्रह']]]",[0.074],[0.0]
72,पद्मनाभ दत्त ने ( 15 वीं शताब्दी ) सुपद्य व्याकरण लिखा है .,['पद्मनाभ दत्त ने ( 15 वीं शताब्दी ) सुपद्य व्याकरण लिखा है .'],"[[['पद्मनाभ दत्त ने', 'लिखा है', 'सुपद्य व्याकरण'], ['सुपद्य व्याकरण', 'property', '15 वीं शताब्दी )']]]",[[]],[0.069],[0.0]
73,इसके पश्चिम में अलबामा और दक्षिण में फ्लोरिडा राज्य स्थित हैं .,['इसके पश्चिम में अलबामा और दक्षिण में फ्लोरिडा राज्य स्थित हैं .'],"[[['फ्लोरिडा राज्य', 'स्थित हैं', 'पश्चिम में'], ['स्थित', 'property', 'अलबामा'], ['स्थित', 'property', 'दक्षिण में']]]","[[['अलबामा', 'स्थित property', 'दक्षिण में']]]",[0.065],[0.001]
74,यह क्रिकेट मैदान ऑस्ट्रेलिया के होबार्ट शहर में स्थित है .,['यह क्रिकेट मैदान ऑस्ट्रेलिया के होबार्ट शहर में स्थित है .'],"[[['यह क्रिकेट मैदान', 'स्थित है', 'होबार्ट शहर में'], ['होबार्ट शहर में', 'property', 'ऑस्ट्रेलिया के']]]",[[]],[0.068],[0.0]
75,"निम्नलिखित सूचना नियम का एक सरलीकृत सारांश है , पूरी प्रतिलिपि नहीं है .","['निम्नलिखित सूचना नियम का एक सरलीकृत सारांश है , पूरी प्रतिलिपि नहीं है .']","[[['निम्नलिखित सूचना नियम का', 'एक सरलीकृत सारांश है ,', 'पूरी प्रतिलिपि नहीं है']]]",[[]],[0.065],[0.0]
76,आत्यन्तिक प्रलय योगीजनों के ज्ञान के द्वारा ब्रह्म में लीन हो जाने को कहते हैं .,['आत्यन्तिक प्रलय योगीजनों के ज्ञान के द्वारा ब्रह्म में लीन हो जाने को कहते हैं .'],[[]],[[]],[0],[0]
77,जंगलों की विशेषता की दृष्टि से कुछ लोगों ने इसे इंडोचायनीज़ और इंडोमलायन उपक्षेत्रों में विभाजित किया है .,['जंगलों की विशेषता की दृष्टि से कुछ लोगों ने इसे इंडोचायनीज़ और इंडोमलायन उपक्षेत्रों में विभाजित किया है .'],"[[['कुछ लोगों ने', 'विभाजित किया है', 'इसे'], ['दृष्टि से', 'विभाजित किया है', 'इंडोचायनीज़'], ['दृष्टि से', 'property', 'विशेषता की'], ['दृष्टि से', 'विभाजित किया है', 'इंडोमलायन उपक्षेत्रों में']]]","[[['इंडोचायनीज़', 'दृष्टि से विभाजित किया है', 'इंडोमलायन उपक्षेत्रों में']]]",[0.075],[0.001]
78,"पर , प्रयोगशील प्रवृत्तियाँ उनको प्रश्रय देने लगी होंगी !","['पर , प्रयोगशील प्रवृत्तियाँ उनको प्रश्रय देने लगी होंगी !']","[[['प्रयोगशील प्रवृत्तियाँ', 'प्रश्रय देने लगी होंगी', 'उनको']]]",[[]],[0.065],[0.0]
79,5364 ईसा पूर्व ईसा मसीह के जन्म से पूर्व के वर्षों को दर्शाता है .,['5364 ईसा पूर्व ईसा मसीह के जन्म से पूर्व के वर्षों को दर्शाता है .'],"[[['वर्षों को', 'दर्शाता है', '5364 ईसा पूर्व'], ['वर्षों को', 'property', 'जन्म से पूर्व के'], ['जन्म से पूर्व के', 'property', 'ईसा मसीह के']]]","[[['वर्षों को', 'property जन्म से पूर्व के', 'ईसा मसीह के']]]",[0.065],[0.0]
80,विश्वामित्र द्वारा वैदिक मन्त्रों के स्वरघोष के मध्य सीता राम को जयमाल पहनाती हैं .,['विश्वामित्र द्वारा वैदिक मन्त्रों के स्वरघोष के मध्य सीता राम को जयमाल पहनाती हैं .'],"[[['विश्वामित्र द्वारा', 'पहनाती हैं', 'जयमाल'], ['सीता राम को', 'पहनाती हैं', 'स्वरघोष के मध्य'], ['स्वरघोष के मध्य', 'property', 'वैदिक मन्त्रों के']]]",[[]],[0.122],[0.0]
81,विभिन्न स्रोत इस तथ्य पर बटे हुए हैं कि आखिर किस वर्ष में स्थान का नाम एजिंकोर्ट स्क्वायर पड़ा .,['विभिन्न स्रोत इस तथ्य पर बटे हुए हैं कि आखिर किस वर्ष में स्थान का नाम एजिंकोर्ट स्क्वायर पड़ा .'],"[[['विभिन्न स्रोत', 'बटे हुए हैं', 'इस तथ्य पर'], ['इस तथ्य पर', 'पड़ा आखिर', 'एजिंकोर्ट स्क्वायर'], ['इस तथ्य पर', 'पड़ा आखिर', 'नाम'], ['इस तथ्य पर', 'पड़ा आखिर', 'किस वर्ष में'], ['नाम', 'property', 'स्थान का']]]","[[['एजिंकोर्ट स्क्वायर', 'इस तथ्य पर पड़ा आखिर', 'नाम'], ['एजिंकोर्ट स्क्वायर', 'इस तथ्य पर पड़ा आखिर', 'किस वर्ष में'], ['नाम', 'इस तथ्य पर पड़ा आखिर', 'किस वर्ष में']]]",[0.068],[0.001]
82,प्रत्येक भाग के अंतर्गत विभिन्न विभाग होते हैं जिनके अलगअलग अध्यक्ष होते हैं .,['प्रत्येक भाग के अंतर्गत विभिन्न विभाग होते हैं जिनके अलगअलग अध्यक्ष होते हैं .'],"[[['विभिन्न विभाग', 'होते हैं', 'प्रत्येक भाग के अंतर्गत'], ['विभिन्न विभाग', 'होते हैं', 'जिनके अलगअलग अध्यक्ष']]]","[[['प्रत्येक भाग के अंतर्गत', 'विभिन्न विभाग होते हैं', 'जिनके अलगअलग अध्यक्ष']]]",[0.071],[0.0]
83,"एकलों के बीच एक लंबे अंतराल के बाद , एल्बम से तीसरा कट 2006 के मध्य में जारी किया गया .","['एकलों के बीच एक लंबे अंतराल के बाद , एल्बम से तीसरा कट 2006 के मध्य में जारी किया गया .']","[[['एकलों के बीच', 'जारी किया गया', 'एक लंबे अंतराल के बाद ,'], ['एल्बम से', 'जारी किया गया', '2006 के मध्य में']]]",[[]],[0.071],[0.0]
84,"चूंकि उस दौर में उनके सामने कोई और मानक नहीं थे , अतः सब कामचलाऊ व्यवस्था उन्हें स्वयं करनी पड़ी .","['चूंकि उस दौर में उनके सामने कोई और मानक नहीं थे , अतः सब कामचलाऊ व्यवस्था उन्हें स्वयं करनी पड़ी .']","[[['उस दौर में', 'कोई और मानक नहीं थे ,', 'उनके सामने'], ['सब कामचलाऊ व्यवस्था', 'स्वयं करनी पड़ी', 'उन्हें']]]",[[]],[0.074],[0.0]
85,1900 के आसपास बहुत से विकासों ने निमोनिया से पीड़ित लोगों के लिये परिणामों को बेहतर कर दिया था .,['1900 के आसपास बहुत से विकासों ने निमोनिया से पीड़ित लोगों के लिये परिणामों को बेहतर कर दिया था .'],"[[['बहुत से विकासों ने', 'बेहतर कर दिया था', 'परिणामों को'], ['1900 के आसपास', 'बेहतर कर दिया था', 'निमोनिया से'], ['पीड़ित लोगों के लिये', 'बेहतर कर दिया था', 'निमोनिया से']]]","[[['1900 के आसपास', 'बेहतर कर दिया था निमोनिया से', 'पीड़ित लोगों के लिये']]]",[0.073],[0.0]
86,सांप्रदायिक सिद्धांतों के प्रचार और प्रसार में अपने पिता के समान आपका भी बहुत योगदान है .,['सांप्रदायिक सिद्धांतों के प्रचार और प्रसार में अपने पिता के समान आपका भी बहुत योगदान है .'],"[[['प्रचार', 'बहुत योगदान है', 'पिता के समान'], ['बहुत योगदान', 'property', 'आपका भी'], ['प्रसार में', 'बहुत योगदान है', 'पिता के समान']]]","[[['प्रचार', 'बहुत योगदान है पिता के समान', 'प्रसार में']]]",[0.067],[0.001]
87,"उदाहरणार्थ , केवल 1 -- 3 माह के संपर्क में भी मेसोथेलियोमा उत्पन्न होने के मामले लेखबद्ध किये गये हैं .","['उदाहरणार्थ , केवल 1 -- 3 माह के संपर्क में भी मेसोथेलियोमा उत्पन्न होने के मामले लेखबद्ध किये गये हैं .']","[[['मामले', 'लेखबद्ध किये गये हैं', 'उदाहरणार्थ ,'], ['संपर्क में भी', 'लेखबद्ध किये गये हैं', 'केवल 1 -- 3 माह के'], ['मामले', 'property', 'उत्पन्न होने के'], ['मेसोथेलियोमा', 'उत्पन्न होने के', 'मामले']]]",[[]],[0.07],[0.001]
88,"जहां इश -- डू में दो प्राणियों का सामना होता है , इश -- एस में प्राणी वास्तव में मिलते नहीं है .","['जहां इश -- डू में दो प्राणियों का सामना होता है , इश -- एस में प्राणी वास्तव में मिलते नहीं है .']","[[['प्राणी', 'मिलते नहीं है', 'इश -- एस में'], ['वास्तव में', 'मिलते नहीं है', 'प्राणी'], ['इश -- एस में', 'सामना होता है ,', 'इश -- डू में'], ['इश -- एस में', 'सामना होता है ,', 'दो प्राणियों का']]]","[[['इश -- एस में', 'प्राणी मिलते नहीं है', 'वास्तव में'], ['इश -- डू में', 'इश -- एस में सामना होता है ,', 'दो प्राणियों का']]]",[0.075],[0.001]
89,ये तीनों अक्ष उस तल में एकबिन्दुगामी भी होने चाहिये .,['ये तीनों अक्ष उस तल में एकबिन्दुगामी भी होने चाहिये .'],"[[['ये तीनों अक्ष', 'होने चाहिये', 'एकबिन्दुगामी भी'], ['उस तल में', 'होने चाहिये', 'ये तीनों अक्ष']]]","[[['एकबिन्दुगामी भी', 'ये तीनों अक्ष होने चाहिये', 'उस तल में']]]",[0.075],[0.0]
90,"विकासशील देशों में , अपने ही पड़ोस में किसानों के दूध विपणन के पुराने तरीके तेजी से बदल रहे हैं .","['विकासशील देशों में , अपने ही पड़ोस में किसानों के दूध विपणन के पुराने तरीके तेजी से बदल रहे हैं .']","[[['पुराने तरीके', 'बदल रहे हैं', 'विकासशील देशों में ,'], ['अपने ही पड़ोस में', 'बदल रहे हैं', 'तेजी से'], ['पुराने तरीके', 'property', 'दूध विपणन के']]]",[[]],[0.071],[0.0]
91,उन्होंने अपने बोलीवुड करियर की शुरुआत एक दीवाना था से की जिसे 17 फ़रवरी 2012 को रिलीज़ किया गया .,['उन्होंने अपने बोलीवुड करियर की शुरुआत एक दीवाना था से की जिसे 17 फ़रवरी 2012 को रिलीज़ किया गया .'],"[[['उन्होंने', 'एक दीवाना था से', 'शुरुआत'], ['शुरुआत', 'property', 'बोलीवुड करियर की'], ['शुरुआत', 'रिलीज़ किया गया', 'जिसे'], ['शुरुआत', 'रिलीज़ किया गया', '17 फ़रवरी 2012 को']]]","[[['जिसे', 'शुरुआत रिलीज़ किया गया', '17 फ़रवरी 2012 को']]]",[0.075],[0.0]
92,इस रोग के प्रतिषेधात्मक उपचार में भी मक्खियों से खाद्य एवं पेय पदार्थो को बचाना अत्यंत आवश्यक है .,['इस रोग के प्रतिषेधात्मक उपचार में भी मक्खियों से खाद्य एवं पेय पदार्थो को बचाना अत्यंत आवश्यक है .'],"[[['बचाना', 'है', 'अत्यंत आवश्यक'], ['खाद्य एवं पेय पदार्थो को', 'बचाना', 'मक्खियों से']]]",[[]],[0.069],[0.0]
93,"यह , प्रतिस्पर्धी टीम की राष्ट्रीयता को संदर्भित करता है , न कि गाड़ी निर्माता या चालक की राष्ट्रीयता को .","['यह , प्रतिस्पर्धी टीम की राष्ट्रीयता को संदर्भित करता है , न कि गाड़ी निर्माता या चालक की राष्ट्रीयता को .']","[[['यह ,', 'संदर्भित करता है ,', 'राष्ट्रीयता को'], ['राष्ट्रीयता को', 'संदर्भित करता है ,', 'गाड़ी निर्माता'], ['राष्ट्रीयता को', 'property', 'प्रतिस्पर्धी टीम की'], ['राष्ट्रीयता को', 'संदर्भित करता है ,', 'चालक की']]]","[[['यह ,', 'संदर्भित करता है , राष्ट्रीयता को', 'गाड़ी निर्माता'], ['यह ,', 'संदर्भित करता है , राष्ट्रीयता को', 'चालक की'], ['गाड़ी निर्माता', 'राष्ट्रीयता को संदर्भित करता है ,', 'चालक की']]]",[0.068],[0.001]
94,सड़क मार्ग रत्नागिरी के लिए मुंबई से सीधी बस सेवा है .,['सड़क मार्ग रत्नागिरी के लिए मुंबई से सीधी बस सेवा है .'],"[[['सड़क मार्ग', 'सीधी बस सेवा है', 'रत्नागिरी के लिए'], ['सीधी बस सेवा', 'property', 'मुंबई से']]]",[[]],[0.071],[0.0]
95,"छपाई में लकड़ी के ब्लाकों का प्रयोग होता था , जिसका निर्माण शिल्पी -- सुथार करते थे .","['छपाई में लकड़ी के ब्लाकों का प्रयोग होता था , जिसका निर्माण शिल्पी -- सुथार करते थे .']","[[['छपाई में', 'प्रयोग होता था ,', 'ब्लाकों का'], ['ब्लाकों का', 'जिसका निर्माण करते थे', 'शिल्पी -- सुथार']]]",[[]],[0.076],[0.0]
96,यह शब्द विधि बनाने वाली सरकारी इकाई के लिये प्रयोग में आता है .,['यह शब्द विधि बनाने वाली सरकारी इकाई के लिये प्रयोग में आता है .'],"[[['यह शब्द', 'आता है', 'सरकारी इकाई के लिये'], ['प्रयोग में', 'आता है', 'सरकारी इकाई के लिये'], ['विधि', 'बनाने वाली', 'सरकारी इकाई के लिये']]]","[[['यह शब्द', 'आता है सरकारी इकाई के लिये', 'प्रयोग में']]]",[0.086],[0.001]
97,यह उत्तर प्रदेश के बलिया जिले में स्थित है और बलिया शहर से थोड़ी दूर पश्चिम में स्थित है .,['यह उत्तर प्रदेश के बलिया जिले में स्थित है और बलिया शहर से थोड़ी दूर पश्चिम में स्थित है .'],"[[['यह', 'स्थित है', 'बलिया जिले में'], ['बलिया जिले में', 'property', 'उत्तर प्रदेश के'], ['बलिया शहर से', 'स्थित है', 'पश्चिम में']]]",[[]],[0.07],[0.0]
98,उसेक बाद उन्होने पिता की हत्या नहीं करवाई जैसाकि अन्य सम्राट किया करते थे .,['उसेक बाद उन्होने पिता की हत्या नहीं करवाई जैसाकि अन्य सम्राट किया करते थे .'],"[[['उन्होने', 'हत्या नहीं करवाई', 'उसेक बाद'], ['हत्या नहीं करवाई', 'property', 'पिता की']]]",[[]],[0.068],[0.0]
99,सर्वप्रथम प्रत्येक खिलाड़ी के लिये हवाओं की स्थिति का निर्धारण पासा फेंककर किया जाता है .,['सर्वप्रथम प्रत्येक खिलाड़ी के लिये हवाओं की स्थिति का निर्धारण पासा फेंककर किया जाता है .'],"[[['सर्वप्रथम', 'किया जाता है', 'प्रत्येक खिलाड़ी के लिये'], ['प्रत्येक खिलाड़ी के लिये किया जाता है', 'फेंककर', 'निर्धारण'], ['प्रत्येक खिलाड़ी के लिये किया जाता है', 'फेंककर', 'पासा'], ['निर्धारण', 'property', 'स्थिति का']]]","[[['निर्धारण', 'प्रत्येक खिलाड़ी के लिये किया जाता है फेंककर', 'पासा']]]",[0.067],[0.0]
100,"हाइपरयूरीसेमिया , वात रोग का मूल कारण होता है .","['हाइपरयूरीसेमिया , वात रोग का मूल कारण होता है .']","[[['हाइपरयूरीसेमिया ,', 'होता है', 'मूल कारण']]]",[[]],[0.069],[0.0]
101,यही कारण है कि विश्व भर में केरल अपनी आयुर्वेदिक चिकित्सा शैली के कारण प्रसिद्ध है .,['यही कारण है कि विश्व भर में केरल अपनी आयुर्वेदिक चिकित्सा शैली के कारण प्रसिद्ध है .'],"[[['प्रसिद्ध', 'है', 'यही कारण']]]",[[]],[0.075],[0.0]
102,इसका उदगम स्थान सिरमोर राज्य के अंतगर्त हिमालय पर्वत के नीचे का ढलुवा भाग है .,['इसका उदगम स्थान सिरमोर राज्य के अंतगर्त हिमालय पर्वत के नीचे का ढलुवा भाग है .'],"[[['उदगम स्थान', 'ढलुवा भाग है', 'अंतगर्त हिमालय पर्वत के नीचे का'], ['उदगम स्थान', 'property', 'इसका'], ['अंतगर्त हिमालय पर्वत के नीचे का', 'property', 'सिरमोर राज्य के']]]",[[]],[0.071],[0.0]
103,दक्षिण भारत में उन दिनों परम्परागत चित्रकला का ही प्राधान्य था .,['दक्षिण भारत में उन दिनों परम्परागत चित्रकला का ही प्राधान्य था .'],"[[['दक्षिण भारत में', 'प्राधान्य था', 'उन दिनों'], ['प्राधान्य', 'property', 'परम्परागत चित्रकला का ही']]]",[[]],[0.07],[0.0]
104,ये कहानियाँ किसी देश या समय की हो सकती हैं .,['ये कहानियाँ किसी देश या समय की हो सकती हैं .'],"[[['ये कहानियाँ', 'हो सकती हैं', 'किसी देश'], ['ये कहानियाँ', 'हो सकती हैं', 'समय की']]]","[[['किसी देश', 'ये कहानियाँ हो सकती हैं', 'समय की']]]",[0.072],[0.0]
105,और भी कुछ निम्नलिखित कारण हैं जोकि प्रकृति आधारित निर्माण को प्रोत्साहित करते हैं .,['और भी कुछ निम्नलिखित कारण हैं जोकि प्रकृति आधारित निर्माण को प्रोत्साहित करते हैं .'],"[[['प्रकृति आधारित निर्माण को', 'प्रोत्साहित करते हैं', 'और भी कुछ निम्नलिखित कारण']]]",[[]],[0.071],[0.0]
106,2010 को ' ' दर्शन -- परिषद् ' ' के नाम से सम्पन्न हुआ .,"[""2010 को ' ' दर्शन -- परिषद् ' ' के नाम से सम्पन्न हुआ .""]","[[[""2010 को ' ' दर्शन -- परिषद् ' ' के"", 'सम्पन्न हुआ', 'नाम से']]]",[[]],[0.07],[0.0]
107,यहीं पर सन 1533 में 47 वर्ष की अल्पायु में रथयात्रा के दिन उनका देहांत हो गया .,['यहीं पर सन 1533 में 47 वर्ष की अल्पायु में रथयात्रा के दिन उनका देहांत हो गया .'],"[[['यहीं पर', 'देहांत हो गया', 'सन 1533 में'], ['अल्पायु में', 'देहांत हो गया', 'दिन'], ['उनका', 'देहांत हो गया', 'दिन'], ['अल्पायु में', 'property', '47 वर्ष की'], ['दिन', 'property', 'रथयात्रा के']]]","[[['अल्पायु में', 'देहांत हो गया दिन', 'उनका']]]",[0.076],[0.001]
108,इसे पाण्सिल्क भी कहा जाता है क्योंकि यह तालाब में अक्सर देखा जाता है .,['इसे पाण्सिल्क भी कहा जाता है क्योंकि यह तालाब में अक्सर देखा जाता है .'],"[[['इसे', 'कहा जाता है', 'यह देखा जाता है अक्सर'], ['तालाब में', 'देखा जाता है अक्सर', 'कहा जाता है']]]",[[]],[0.071],[0.0]
109,2008 में वे तीसरे ब्रिटिश प्रबंधक बने जिन्होंने एकाधिक अवसर पर यूरोपियन कप जीता .,['2008 में वे तीसरे ब्रिटिश प्रबंधक बने जिन्होंने एकाधिक अवसर पर यूरोपियन कप जीता .'],"[[['वे', 'बने', 'तीसरे ब्रिटिश प्रबंधक'], ['2008 में', 'बने', 'वे'], ['तीसरे ब्रिटिश प्रबंधक', 'जीता', 'यूरोपियन कप'], ['तीसरे ब्रिटिश प्रबंधक', 'जीता', 'जिन्होंने'], ['तीसरे ब्रिटिश प्रबंधक', 'जीता', 'एकाधिक अवसर पर']]]","[[['तीसरे ब्रिटिश प्रबंधक', 'वे बने', '2008 में'], ['यूरोपियन कप', 'तीसरे ब्रिटिश प्रबंधक जीता', 'जिन्होंने'], ['यूरोपियन कप', 'तीसरे ब्रिटिश प्रबंधक जीता', 'एकाधिक अवसर पर'], ['जिन्होंने', 'तीसरे ब्रिटिश प्रबंधक जीता', 'एकाधिक अवसर पर']]]",[0.083],[0.001]
110,मॉस से मिट्टी में जल रोक रखा जाता है .,['मॉस से मिट्टी में जल रोक रखा जाता है .'],"[[['मॉस से', 'जल रोक रखा जाता है', 'मिट्टी में']]]",[[]],[0.086],[0.0]
111,महाभारत का वर्तमान रूप प्राचीन इतिहास कथाओं उपदेशों आदि का भण्डार है .,['महाभारत का वर्तमान रूप प्राचीन इतिहास कथाओं उपदेशों आदि का भण्डार है .'],"[[['वर्तमान रूप', 'भण्डार है', 'प्राचीन इतिहास कथाओं उपदेशों आदि का'], ['वर्तमान रूप', 'property', 'महाभारत का']]]",[[]],[0.075],[0.0]
